,# edges,setting,privacy leakage
441,300,max-degree-O,0.8733333333333333
442,300,max-degree-R,0.2366666666666667
443,300,max-degree-U,0.19333333333333336
444,400,max-degree-O,0.8775
445,400,max-degree-R,0.040000000000000036
446,400,max-degree-U,0.10999999999999999
447,500,max-degree-O,0.86
448,500,max-degree-R,0.062000000000000055
449,500,max-degree-U,0.06000000000000005
450,100,min-degree-O,0.81
451,100,min-degree-R,0.020000000000000018
452,100,min-degree-U,0.020000000000000018
453,200,min-degree-O,0.76
454,200,min-degree-R,0.010000000000000009
455,200,min-degree-U,0.010000000000000009
456,300,min-degree-O,0.7433333333333333
457,300,min-degree-R,0.20999999999999996
458,300,min-degree-U,0.00666666666666671
459,400,min-degree-O,0.76
460,400,min-degree-R,0.020000000000000018
461,400,min-degree-U,0.19499999999999995
462,500,min-degree-O,0.766
463,500,min-degree-R,0.020000000000000018
464,500,min-degree-U,0.02200000000000002
465,100,saliency-O,0.85
466,100,saliency-R,0.62
467,100,saliency-U,0.6799999999999999
468,200,saliency-O,0.83
469,200,saliency-R,0.04500000000000004
470,200,saliency-U,0.06499999999999995
471,300,saliency-O,0.83
472,300,saliency-R,0.6966666666666667
473,300,saliency-U,0.7766666666666666
474,400,saliency-O,0.8625
475,400,saliency-R,0.29000000000000004
476,400,saliency-U,0.7525
477,500,saliency-O,0.758
478,500,saliency-R,0.602
479,500,saliency-U,0.5880000000000001
480,100,random-O,0.75
481,100,random-R,0.51
482,100,random-U,0.5
483,200,random-O,0.795
484,200,random-R,0.4
485,200,random-U,0.38
486,300,random-O,0.79
487,300,random-R,0.44999999999999996
488,300,random-U,0.42666666666666664
489,400,random-O,0.8425
490,400,random-R,0.4075
491,400,random-U,0.37250000000000005
492,500,random-O,0.81
493,500,random-R,0.404
494,500,random-U,0.43200000000000005
495,100,max-degree-O,0.95
496,100,max-degree-R,0.77
497,100,max-degree-U,0.77
498,200,max-degree-O,0.86
499,200,max-degree-R,0.20999999999999996
500,200,max-degree-U,0.15500000000000003
501,300,max-degree-O,0.8966666666666666
502,300,max-degree-R,0.2633333333333333
503,300,max-degree-U,0.24
504,400,max-degree-O,0.8925
505,400,max-degree-R,0.040000000000000036
506,400,max-degree-U,0.20750000000000002
507,500,max-degree-O,0.89
508,500,max-degree-R,0.06399999999999995
509,500,max-degree-U,0.15800000000000003
510,100,min-degree-O,0.81
511,100,min-degree-R,0.020000000000000018
512,100,min-degree-U,0.020000000000000018
513,200,min-degree-O,0.82
514,200,min-degree-R,0.0050000000000000044
515,200,min-degree-U,0.0050000000000000044
516,300,min-degree-O,0.8133333333333334
517,300,min-degree-R,0.2366666666666667
518,300,min-degree-U,0.10666666666666669
519,400,min-degree-O,0.795
520,400,min-degree-R,0.022499999999999964
521,400,min-degree-U,0.015000000000000013
522,500,min-degree-O,0.8
523,500,min-degree-R,0.242
524,500,min-degree-U,0.238
525,100,saliency-O,0.79
526,100,saliency-R,0.5900000000000001
527,100,saliency-U,0.14
528,200,saliency-O,0.765
529,200,saliency-R,0.615
530,200,saliency-U,0.6599999999999999
531,300,saliency-O,0.8333333333333334
532,300,saliency-R,0.8833333333333333
533,300,saliency-U,0.7333333333333334
534,400,saliency-O,0.8175
535,400,saliency-R,0.48750000000000004
536,400,saliency-U,0.925
537,500,saliency-O,0.886
538,500,saliency-R,0.594
539,500,saliency-U,0.698
540,100,random-O,0.76
541,100,random-R,0.48
542,100,random-U,0.43000000000000005
543,200,random-O,0.74
544,200,random-R,0.385
545,200,random-U,0.35
546,300,random-O,0.7533333333333333
547,300,random-R,0.3633333333333333
548,300,random-U,0.38
549,400,random-O,0.6325
550,400,random-R,0.4425
551,400,random-U,0.4175
552,500,random-O,0.728
553,500,random-R,0.40800000000000003
554,500,random-U,0.358
555,100,max-degree-O,0.95
556,100,max-degree-R,0.96
557,100,max-degree-U,0.9
558,200,max-degree-O,0.89
559,200,max-degree-R,0.275
560,200,max-degree-U,0.16000000000000003
561,300,max-degree-O,0.8633333333333333
562,300,max-degree-R,0.1466666666666666
563,300,max-degree-U,0.35
564,400,max-degree-O,0.865
565,400,max-degree-R,0.04500000000000004
566,400,max-degree-U,0.04749999999999999
567,500,max-degree-O,0.85
568,500,max-degree-R,0.06399999999999995
569,500,max-degree-U,0.05400000000000005
570,100,min-degree-O,0.77
571,100,min-degree-R,0.010000000000000009
572,100,min-degree-U,0.010000000000000009
573,200,min-degree-O,0.795
574,200,min-degree-R,0.015000000000000013
575,200,min-degree-U,0.010000000000000009
576,300,min-degree-O,0.79
577,300,min-degree-R,0.0033333333333332993
578,300,min-degree-U,0.013333333333333308
579,400,min-degree-O,0.72
580,400,min-degree-R,0.015000000000000013
581,400,min-degree-U,0.012499999999999956
582,500,min-degree-O,0.754
583,500,min-degree-R,0.02200000000000002
584,500,min-degree-U,0.018000000000000016
585,100,saliency-O,0.82
586,100,saliency-R,0.6799999999999999
587,100,saliency-U,0.32999999999999996
588,200,saliency-O,0.76
589,200,saliency-R,0.43999999999999995
590,200,saliency-U,0.525
591,300,saliency-O,0.8633333333333333
592,300,saliency-R,0.6833333333333333
593,300,saliency-U,0.6066666666666667
594,400,saliency-O,0.815
595,400,saliency-R,0.0050000000000000044
596,400,saliency-U,0.2875
597,500,saliency-O,0.778
598,500,saliency-R,0.606
599,500,saliency-U,0.6859999999999999
