,# edges,setting,accuracy,running time
181,100,min-degree-U,0.7087087087087087,5.569021463394165
182,200,min-degree-R,0.6486486486486487,2.892955780029297
183,200,min-degree-U,0.7042042042042042,3.087448835372925
184,400,min-degree-R,0.6171171171171171,2.7814712524414062
185,400,min-degree-U,0.6981981981981982,2.885620594024658
186,800,min-degree-R,0.5480480480480481,2.868098258972168
187,800,min-degree-U,0.6906906906906907,4.023565769195557
188,1000,min-degree-R,0.5165165165165165,3.0641610622406006
189,1000,min-degree-U,0.6876876876876877,3.9814929962158203
190,100,saliency-R,0.6906906906906907,3.8059473037719727
191,100,saliency-U,0.7012012012012012,5.131403207778931
192,200,saliency-R,0.6981981981981982,3.0207786560058594
193,200,saliency-U,0.6981981981981982,3.953117609024048
194,400,saliency-R,0.6681681681681682,2.9547338485717773
195,400,saliency-U,0.6981981981981982,5.066632986068726
196,800,saliency-R,0.6591591591591591,2.5282528400421143
197,800,saliency-U,0.6801801801801802,4.81650710105896
198,1000,saliency-R,0.6546546546546547,2.6709415912628174
199,1000,saliency-U,0.6816816816816816,3.2569172382354736
200,100,random-R,0.6831831831831832,2.571532726287842
201,100,random-U,0.6951951951951952,4.152859210968018
202,200,random-R,0.6891891891891891,2.741651773452759
203,200,random-U,0.6966966966966966,2.9577903747558594
204,400,random-R,0.6786786786786787,2.4552533626556396
205,400,random-U,0.6936936936936937,5.835883140563965
206,800,random-R,0.6621621621621622,2.487600088119507
207,800,random-U,0.6861861861861862,3.5113072395324707
208,1000,random-R,0.6486486486486487,2.90846586227417
209,1000,random-U,0.6816816816816816,5.174458265304565
210,100,max-degree-R,0.7072072072072072,3.0854687690734863
211,100,max-degree-U,0.7072072072072072,4.618236541748047
212,200,max-degree-R,0.6981981981981982,2.5252764225006104
213,200,max-degree-U,0.7072072072072072,3.108466148376465
214,400,max-degree-R,0.6981981981981982,2.7295479774475098
215,400,max-degree-U,0.7012012012012012,4.878886938095093
216,800,max-degree-R,0.6891891891891891,3.133070230484009
217,800,max-degree-U,0.6981981981981982,6.932423830032349
218,1000,max-degree-R,0.6771771771771772,3.043428421020508
219,1000,max-degree-U,0.6966966966966966,4.553666114807129
220,100,min-degree-R,0.6906906906906907,2.8457565307617188
221,100,min-degree-U,0.7087087087087087,5.626311779022217
222,200,min-degree-R,0.6651651651651652,3.2693076133728027
223,200,min-degree-U,0.7042042042042042,3.229893922805786
224,400,min-degree-R,0.6441441441441441,3.3184754848480225
225,400,min-degree-U,0.6981981981981982,3.029003381729126
226,800,min-degree-R,0.566066066066066,3.5150344371795654
227,800,min-degree-U,0.6906906906906907,5.009554624557495
228,1000,min-degree-R,0.5420420420420421,3.6467056274414062
229,1000,min-degree-U,0.6876876876876877,4.9549880027771
230,100,saliency-R,0.7057057057057057,3.5075860023498535
231,100,saliency-U,0.7012012012012012,4.494537591934204
232,200,saliency-R,0.6861861861861862,3.0360002517700195
233,200,saliency-U,0.6981981981981982,4.157933235168457
234,400,saliency-R,0.6951951951951952,2.686608076095581
235,400,saliency-U,0.6981981981981982,4.372889518737793
236,800,saliency-R,0.6576576576576577,2.4512007236480713
237,800,saliency-U,0.6801801801801802,4.538172721862793
238,1000,saliency-R,0.6561561561561562,2.871102809906006
239,1000,saliency-U,0.6816816816816816,3.2005300521850586
240,100,random-R,0.6951951951951952,2.5045089721679688
241,100,random-U,0.7087087087087087,3.7428669929504395
242,200,random-R,0.6891891891891891,2.588698625564575
243,200,random-U,0.7102102102102102,2.5759646892547607
244,400,random-R,0.6576576576576577,2.6247477531433105
245,400,random-U,0.7057057057057057,3.5849645137786865
246,800,random-R,0.6276276276276276,3.145498037338257
247,800,random-U,0.6891891891891891,5.42762565612793
248,1000,random-R,0.6336336336336337,2.9909188747406006
249,1000,random-U,0.6951951951951952,5.743351459503174
250,100,max-degree-R,0.7027027027027027,3.588900327682495
251,100,max-degree-U,0.7072072072072072,4.542924880981445
252,200,max-degree-R,0.7072072072072072,3.0090954303741455
253,200,max-degree-U,0.7072072072072072,3.6751856803894043
254,400,max-degree-R,0.6831831831831832,2.6173558235168457
255,400,max-degree-U,0.7012012012012012,4.558123350143433
256,800,max-degree-R,0.6936936936936937,2.895843744277954
257,800,max-degree-U,0.6981981981981982,6.513354778289795
258,1000,max-degree-R,0.6891891891891891,3.052903652191162
259,1000,max-degree-U,0.6966966966966966,4.47437310218811
260,100,min-degree-R,0.6741741741741741,2.8850386142730713
